payment_id,amount,refund,fee,tax,settlement
pay_00001,9663.52,2826.78,193.27,34.79,6608.68
pay_00002,11099.77,0.0,222.0,39.96,10837.81
pay_00003,1486.69,0.0,29.73,5.35,868.62
pay_00004,7679.26,1836.77,153.59,27.65,5661.25
pay_00005,8265.13,0.0,165.3,29.75,8070.08
pay_00006,12179.57,8088.13,243.59,43.85,3804.0
pay_00007,5235.71,0.0,104.71,18.85,5112.15
pay_00008,5181.6,868.96,103.63,18.65,4190.36
pay_00009,9135.15,0.0,182.7,32.89,8919.56
pay_00010,8136.18,0.0,162.72,29.29,7944.17
pay_00011,8370.2,0.0,167.4,30.13,8172.67
pay_00012,12953.26,0.0,259.07,46.63,12647.56
pay_00013,878.2,0.0,17.56,3.16,857.48
pay_00014,1380.92,0.0,27.62,4.97,1348.33
pay_00015,4314.01,0.0,86.28,15.53,4212.2
pay_00016,5678.68,0.0,113.57,20.44,5544.67
pay_00017,14062.49,0.0,281.25,50.62,13730.62
pay_00018,2732.85,0.0,54.66,9.84,2668.35
pay_00019,5815.94,0.0,116.32,20.94,5678.68
pay_00020,8442.86,0.0,168.86,30.39,8243.61
pay_00021,11684.8,0.0,233.7,42.07,7324.07
pay_00022,4162.56,0.0,83.25,14.98,4064.33
pay_00023,13170.24,0.0,263.4,47.41,12859.43
pay_00024,6055.35,0.0,121.11,21.8,5912.44
pay_00025,4120.23,0.0,82.4,14.83,4023.0
pay_00026,4088.58,0.0,81.77,14.72,3992.09
pay_00027,6111.13,0.0,122.22,22.0,5966.91
pay_00028,7740.99,1029.41,154.82,27.87,6528.89
pay_00029,9486.2,0.0,189.72,34.15,9262.33
pay_00030,1140.21,0.0,22.8,4.1,1113.31
pay_00031,8030.89,0.0,160.62,28.91,7841.36
pay_00032,369.92,0.0,7.4,1.33,361.19
pay_00033,8147.16,0.0,162.94,29.33,7954.89
pay_00034,1850.97,0.0,37.02,6.66,1807.29
pay_00035,14316.48,0.0,286.33,51.54,13978.61
pay_00036,7608.67,0.0,152.17,27.39,7429.11
pay_00037,13083.67,0.0,261.67,47.1,12774.9
pay_00038,9212.76,0.0,184.26,33.17,8995.33
pay_00039,8182.81,0.0,163.66,29.46,7989.69
pay_00040,208.46,0.0,4.17,0.75,186.87
pay_00041,13205.08,0.0,264.1,47.54,12893.44
pay_00042,1057.29,0.0,21.15,3.81,1032.33
pay_00043,1467.67,0.0,29.35,5.28,1433.04
pay_00044,11456.91,0.0,229.14,41.25,11186.52
pay_00045,7234.18,0.0,144.68,26.04,7063.46
pay_00046,13112.01,0.0,262.24,47.2,12802.57
pay_00047,8181.58,0.0,163.63,29.45,7988.5
pay_00048,4813.4,0.0,96.27,17.33,4699.8
pay_00049,6683.88,0.0,133.68,24.06,6526.14
pay_00050,3525.52,0.0,70.51,12.69,3442.32
pay_00051,3605.7,0.0,72.11,12.98,3520.61
pay_00052,9540.32,0.0,190.81,34.35,9315.16
pay_00053,12922.6,3445.21,258.45,46.52,9172.42
pay_00054,3370.7,0.0,67.41,12.13,3291.16
pay_00055,8651.44,0.0,173.03,31.15,8447.26
pay_00056,12150.96,0.0,243.02,43.74,11864.2
pay_00057,6579.56,0.0,131.59,23.69,6424.28
pay_00058,10990.32,0.0,219.81,39.57,10730.94
pay_00059,1656.58,0.0,33.13,5.96,1617.49
pay_00060,12952.75,0.0,259.06,46.63,12647.06
pay_00061,6839.48,0.0,136.79,24.62,6678.07
pay_00062,3897.14,0.0,77.94,14.03,3805.17
pay_00063,12947.97,0.0,258.96,46.61,12642.4
pay_00064,14989.38,0.0,299.79,53.96,14635.63
pay_00065,13910.23,0.0,278.2,50.08,13581.95
pay_00066,7387.49,0.0,147.75,26.59,7213.15
pay_00067,1067.8,0.0,21.36,3.84,1042.6
pay_00068,4125.01,0.0,82.5,14.85,4027.66
pay_00069,6460.51,0.0,129.21,23.26,6308.04
pay_00070,8425.37,0.0,168.51,30.33,8226.53
pay_00071,4591.28,0.0,91.83,16.53,4482.92
pay_00072,8224.49,0.0,164.49,29.61,8030.39
pay_00073,8845.83,0.0,176.92,31.85,8637.06
pay_00074,2530.0,0.0,50.6,9.11,2470.29
pay_00075,2950.21,0.0,59.0,10.62,2880.59
pay_00076,3681.02,0.0,73.62,13.25,3594.15
pay_00077,3843.99,0.0,76.88,13.84,3753.27
pay_00078,6404.53,0.0,128.09,23.06,6253.38
pay_00079,14033.65,0.0,280.67,50.52,13702.46
pay_00080,3732.55,0.0,74.65,13.44,3644.46
pay_00081,4639.96,0.0,92.8,16.7,4530.46
pay_00082,1273.64,0.0,25.47,4.58,1243.59
pay_00083,14942.23,3723.72,298.84,53.79,10865.88
pay_00084,14012.24,0.0,280.24,50.44,13681.56
pay_00085,5669.0,0.0,113.38,20.41,5535.21
pay_00086,10612.39,0.0,212.25,38.2,10361.94
pay_00087,9878.85,6638.32,197.58,35.56,3007.39
pay_00088,10018.15,0.0,200.36,36.06,9781.73
pay_00089,1908.34,0.0,38.17,6.87,1863.3
